date;time;hz_start;hz_stop;bucket_size;samples;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11
2025-02-15; 23:11:40.781945;400000000;405000000;454545.45;44;-61.27;-63.18;-67.56;-64.46;-64.22;-63.19;-62.82;-64.97;-69.58;-66.66;-67.26
2025-02-15; 23:11:40.781945;475000000;480000000;454545.45;44;-71.69;-70.47;-66.16;-66.59;-68.91;-81.57;-74.46;-66.38;-65.42;-80.1;-73.14
2025-02-15; 23:11:40.781945;465000000;470000000;454545.45;44;-65;-71.75;-71.44;-68.53;-69.13;-85.08;-67.66;-64.67;-67;-64.73;-65.26
2025-02-15; 23:11:40.781945;470000000;475000000;454545.45;44;-69.41;-64.66;-68.07;-68.09;-68.97;-70.05;-65.67;-76.35;-69.42;-70.11;-71.17
2025-02-15; 23:11:40.781945;460000000;465000000;454545.45;44;-77.8;-89.94;-82.25;-74.65;-66.53;-66.19;-70.06;-69.63;-75.31;-62.36;-61.5
2025-02-15; 23:11:40.781945;455000000;460000000;454545.45;44;-63.55;-64.87;-66.54;-69.26;-72.13;-69.84;-63.96;-63.03;-79.45;-68.2;-61.16
2025-02-15; 23:11:40.781945;445000000;450000000;454545.45;44;-73.72;-68.31;-71.23;-71.84;-64.59;-63.88;-74.44;-66.61;-69.48;-87.96;-76.33
2025-02-15; 23:11:40.781945;450000000;455000000;454545.45;44;-66.58;-86.31;-74.82;-69.84;-73.04;-69.71;-66.85;-69.67;-63.66;-63.03;-73.53
2025-02-15; 23:11:40.781945;440000000;445000000;454545.45;44;-70.3;-73.79;-78.71;-74.47;-70.15;-69.64;-66.84;-63.53;-64.42;-64.01;-67.12
2025-02-15; 23:11:40.781945;425000000;430000000;454545.45;44;-82.7;-68.65;-65.2;-68.54;-66.65;-66.36;-81.51;-90.44;-76.69;-78.19;-74.73
2025-02-15; 23:11:40.781945;430000000;435000000;454545.45;44;-61.33;-62.01;-66.38;-66.12;-61.72;-62.76;-65.02;-73.85;-65.51;-65.46;-72.12
2025-02-15; 23:11:40.781945;420000000;425000000;454545.45;44;-75.33;-75.98;-72.19;-74;-71.58;-72.1;-69.67;-68.26;-64.17;-61.86;-64.18
2025-02-15; 23:11:40.781945;415000000;420000000;454545.45;44;-68.97;-68.22;-75.29;-74.5;-71.48;-74.12;-70.04;-68.17;-64.81;-66.57;-70.91
2025-02-15; 23:11:40.781945;405000000;410000000;454545.45;44;-72.21;-68.4;-69.33;-66.94;-67.03;-71.72;-73.35;-67.61;-64.11;-69.29;-74.69
2025-02-15; 23:11:40.781945;410000000;415000000;454545.45;44;-67.56;-72.41;-69.31;-61.55;-60.2;-64.92;-76.26;-80.56;-79.63;-86.27;-72.27
2025-02-15; 23:11:40.781945;400000000;405000000;454545.45;44;-74.32;-65.65;-64.33;-68.36;-70.25;-67.03;-65.22;-66.51;-65.85;-68.27;-87.99
2025-02-15; 23:11:40.781945;435000000;440000000;454545.45;44;-72.75;-67.28;-70.74;-65.02;-61.05;-71.89;-68.15;-66.83;-68.48;-77.16;-60.69
2025-02-15; 23:11:40.781945;465000000;470000000;454545.45;44;-62.46;-61.82;-62.1;-62.94;-64.22;-62.16;-68.74;-75.4;-67.31;-67.52;-66.18
2025-02-15; 23:11:40.781945;475000000;480000000;454545.45;44;-70.19;-69.58;-69.17;-67.74;-86.39;-82.28;-68.38;-65.37;-79.83;-66.51;-84.12
2025-02-15; 23:11:40.781945;410000000;415000000;454545.45;44;-77.2;-71.3;-62.94;-64.03;-70.2;-72.68;-66.74;-67.52;-75.43;-87.15;-74.39
2025-02-15; 23:11:40.781945;405000000;410000000;454545.45;44;-65.23;-63.58;-73;-80.78;-70.64;-62.87;-66.35;-73.44;-67.48;-74.25;-68.65
2025-02-15; 23:11:40.781945;415000000;420000000;454545.45;44;-67.34;-71;-74.41;-68.86;-74.62;-69.14;-67.68;-67.78;-65.59;-62.97;-64.47
2025-02-15; 23:11:40.781945;420000000;425000000;454545.45;44;-65.21;-59.91;-57.91;-60.72;-68.16;-66.22;-68.69;-66.97;-64.56;-65.33;-69.48
2025-02-15; 23:11:40.781945;425000000;430000000;454545.45;44;-69.97;-66.45;-62.89;-64.38;-69.14;-77.05;-69.08;-77.78;-66.48;-71.69;-69.42
2025-02-15; 23:11:40.781945;435000000;440000000;454545.45;44;-66.67;-65.64;-61.33;-64.22;-70.29;-62.89;-61.43;-67.15;-81.31;-76.5;-73.77
2025-02-15; 23:11:40.781945;430000000;435000000;454545.45;44;-61.87;-62.94;-65.64;-68.26;-75.55;-79.98;-67.12;-64.98;-74.96;-73.03;-79.08
2025-02-15; 23:11:40.781945;450000000;455000000;454545.45;44;-70.07;-72.99;-77.34;-73.16;-65.81;-76.85;-65.23;-62.04;-63.04;-65.67;-62.06
2025-02-15; 23:11:40.781945;445000000;450000000;454545.45;44;-66.58;-75.01;-64.18;-64.03;-68.01;-71.25;-64.56;-65.06;-72.07;-69.8;-75.06
